Player,Role,Price
Virat Kohli,Batsman,17
AB de Villiers,Batsman,11
Devdutt Padikkal,Batsman,0.2
Gurkeerat Singh,Batsman,0.5
Aaron Finch,Batsman,4.4
Shahbaz Ahamad,Wicket Keeper,0.2
Joshua Philippe,Wicket Keeper,0.2
Parthiv Patel,Wicket Keeper,1.7
Pawan Negi (R),All-Rounder,1
Shivam Dube (R),All-Rounder,5
Moeen Ali (R),All-Rounder,1.7
Isuru Udana,All-Rounder,0.5
Pavan Deshpande,All-Rounder,0.2
Christopher Morris,All-Rounder,10
Adam Zampa,Bowler,1.5
Dale Steyn,Bowler,2
Mohammed Siraj (R),Bowler,2.6
Navdeep Saini (R),Bowler,3
Umesh Yadav (R),Bowler,4.2
Washington Sundar (R),Bowler,3.2
Yuzvendra Chahal (R),Bowler,6
Rohit Sharma (R),Batsman,15
Anmolpreet Singh (R),Batsman,0.8
Ankul Roy (R),Batsman,0.2
Sherfane Rutherford (R),Batsman,2
Suryakumar Yadav (R),Batsman,3.2
Chris Lynn,Batsman,2
Saurabh Tiwary,Batsman,0.5
Aditya Tare (R),Wicket Keeper,0.2
Ishan Kishan (R),Wicket Keeper,6.2
Quinton de Kock (R),Wicket Keeper,2.8
Hardik Pandya (R),All-Rounder,11
Kieron Pollard (R),All-Rounder,5.4
Krunal Pandya (R),All-Rounder,8.8
Rahul Chahar (R),All-Rounder,1.9
Digvijay Deshmukh,All-Rounder,0.2
Prince Balwant Rai Singh,All-Rounder,0.2
Dhawal Kulkarni (R),Bowler,0.75
Jasprit Bumrah (R),Bowler,7
Jayant Yadav (R),Bowler,0.5
James Pattinson,Bowler,1
Mitchell McClenaghan (R),Bowler,1
Trent Boult (R),Bowler,3.2
Nathan Coulter-Nile,Bowler,8
Mohsin Khan,Bowler,0.2
Ambati Rayudu (R),Batsman,2.2
Monu Kumar (R),Batsman,0.2
Murali Vijay (R),Batsman,2
Ruturaj Gaikwad (R),Batsman,0.2
MS Dhoni (R),Wicket Keeper,15
Jagadeesan Narayan (R),Wicket Keeper,0.2
K M Asif (R),All-Rounder,0.4
Dwayne Bravo (R),All-Rounder,6.4
Faf du Plessis (R),All-Rounder,1.6
Karn Sharma (R),All-Rounder,5
Kedar Jadhav (R),All-Rounder,7.8
Ravindra jadeja (R),All-Rounder,7
Shane Watson (R),All-Rounder,4
Sam Curran,All-Rounder,5.5
Deepak Chahar (R),Bowler,0.8
Imran Tahir (R),Bowler,1
Lungisani Ngidi (R),Bowler,0.5
Mitchell Santner (R),Bowler,0.5
Shardul Thakur (R),Bowler,2.6
Piyush Chawla,Bowler,6.75
Josh Hazlewood,Bowler,2
R. Sai Kishore,Bowler,0.2
Shreyas Iyer (R),Batsman,7
Ajinkya Rahane (R),Batsman,5.25
Keemo Paul (R),Batsman,0.5
Prithvi Shaw (R),Batsman,1.2
Shikhar Dhawan (R),Batsman,5.2
Shimron Hetmyer,Batsman,7.75
Rishabh Pant (R),Wicket Keeper,15
Alex Carey,Wicket Keeper,2.4
Marcus Stoinis,All-Rounder,4.8
Lalith Yadav,All-Rounder,20
